problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt,20,45,1,traversal,True,2.815,2814.56,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt,20,45,2,optimal,True,2.195,2195.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt,20,45,2,largest_gap,True,2.364,2364.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt,20,45,2,traversal,True,2.488,2488.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt,20,45,3,optimal,True,2.196,2196.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt,20,45,3,largest_gap,True,2.382,2382.0,28.383
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt,20,45,3,traversal,True,2.397,2397.0,4.448
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt,20,45,4,optimal,True,2.201,2201.0,3.546
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt,20,45,4,largest_gap,True,2.376,2376.0,48.377
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt,20,45,4,traversal,True,2.494,2494.0,7.355
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt,20,45,5,optimal,True,2.152,2152.0,4.301
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt,20,45,5,largest_gap,True,2.278,2278.0,2.773
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt,20,45,5,traversal,True,2.422,2422.0,9.995
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt,20,45,6,optimal,True,2.544,2543.67,2.691
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt,20,45,6,largest_gap,True,2.769,2769.0,6.54
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt,20,45,6,traversal,True,2.793,2792.54,24.421
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt,20,45,7,optimal,True,2.121,2120.61,664.922
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt,20,45,7,largest_gap,True,2.283,2282.56,56.262
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt,20,45,7,traversal,True,2.369,2369.0,234.146
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt,20,45,8,optimal,True,2.629,2629.0,45.369
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt,20,45,8,largest_gap,True,2.761,2761.0,27.707
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt,20,45,8,traversal,True,2.97,2969.53,817.044
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt,20,45,9,optimal,True,2.604,2604.0,147.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt,20,45,9,largest_gap,True,2.757,2757.0,213.435
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt,20,45,9,traversal,True,2.876,2875.6,219.447
